age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity Social.Distancing.Adherence
59 3 0 0 White TRUE
56 0 0 0 White TRUE
52 0 9 9 White TRUE
77 0 1 1 White TRUE
54 0 1 0 Black FALSE
79 0 0 0 White TRUE
44 0 1 1 White TRUE
73 0 9 8 White FALSE
83 0 6 2 Hispanic.Latino FALSE
32 2 9 9 White TRUE
19 1 0 0 White TRUE
88 0 5 3 White FALSE
60 0 9 1 White FALSE
77 0 0 0 White TRUE
39 1 0 0 White TRUE
75 0 1 1 White TRUE
59 0 4 2 White FALSE
53 0 1 1 White TRUE
66 0 1 1 Black TRUE
51 0 9 0 Black FALSE
67 0 2 2 White TRUE
51 2 9 9 White TRUE
47 1 2 2 White TRUE
58 0 9 5 White FALSE
59 0 9 5 White FALSE
84 0 0 0 White TRUE
56 0 0 0 White TRUE
86 0 0 0 White TRUE
99 3 9 9 White TRUE
48 0 1 1 White TRUE
56 0 3 2 White FALSE
50 0 2 2 Other TRUE
75 0 1 1 White TRUE
73 0 0 0 White TRUE
57 0 2 2 White TRUE
55 0 0 0 White TRUE
31 2 9 9 White TRUE
58 0 9 9 White TRUE
48 1 0 0 Black TRUE
78 2 1 1 White TRUE
59 0 0 0 Black TRUE
57 0 1 1 Hispanic.Latino TRUE
82 0 1 1 White TRUE
25 0 4 4 White TRUE
52 1 4 4 Black TRUE
46 0 8 8 Black TRUE
78 0 1 1 Black TRUE
48 0 1 1 White TRUE
42 1 9 9 White TRUE
56 0 0 0 Black TRUE
43 2 4 0 White FALSE
54 0 6 5 White FALSE
67 0 1 1 Black TRUE
68 0 1 1 White TRUE
78 0 0 0 White TRUE
49 0 1 0 Black FALSE
79 0 1 1 White TRUE
82 0 9 9 White TRUE
53 2 1 3 White FALSE
45 1 9 9 White TRUE
76 0 2 2 White TRUE
52 1 0 0 White TRUE
58 0 9 9 White TRUE
55 0 0 0 White TRUE
43 0 1 1 Black TRUE
58 0 2 2 White TRUE
32 2 0 0 Black TRUE
59 1 6 0 Black FALSE
44 1 0 0 White TRUE
53 1 9 9 White TRUE
56 2 0 1 White TRUE
57 0 3 3 White TRUE
42 0 0 0 White TRUE
42 1 9 9 White TRUE
55 0 4 4 White TRUE
50 1 9 9 White TRUE
52 1 1 1 Black TRUE
54 0 2 1 White FALSE
55 2 1 1 Black TRUE
70 0 2 2 Black TRUE
87 0 2 2 White TRUE
54 0 1 0 White FALSE
57 1 1 1 White TRUE
38 1 2 2 White TRUE
77 0 1 1 White TRUE
56 0 3 3 White TRUE
40 2 3 0 White TRUE
55 1 1 1 White TRUE
77 0 5 5 White TRUE
55 0 3 3 White TRUE
38 1 3 3 White TRUE
47 3 0 0 White TRUE
56 0 1 1 Black TRUE
65 0 1 1 White TRUE
54 1 0 0 White TRUE
59 2 2 2 Black TRUE
58 0 0 0 White TRUE
37 0 5 1 Black FALSE
54 3 1 1 White TRUE
48 0 0 0 Black TRUE
59 0 3 3 White TRUE
58 0 0 0 White TRUE
58 0 0 0 White TRUE
48 2 0 0 Asian TRUE
74 0 1 1 White TRUE
53 0 3 9 Black FALSE
58 0 0 0 Hispanic.Latino TRUE
55 0 9 9 White TRUE
84 0 5 0 White FALSE
18 2 0 0 Asian TRUE
38 2 0 0 Asian TRUE
29 1 9 9 White TRUE
77 0 0 0 White TRUE
51 1 1 1 White TRUE
87 0 0 0 White TRUE
53 2 9 9 White TRUE
56 0 0 0 Other TRUE
56 0 0 0 White TRUE
70 0 1 1 White TRUE
67 0 9 8 Black FALSE
28 0 0 0 White TRUE
61 0 8 8 White TRUE
71 0 9 9 White TRUE
19 2 0 0 Hispanic.Latino TRUE
46 2 4 0 White FALSE
71 0 2 2 Other TRUE
70 0 0 0 White TRUE
36 3 9 9 White TRUE
64 0 3 1 White FALSE
57 0 3 4 White FALSE
72 0 2 0 White FALSE
52 0 1 1 White TRUE
55 2 0 0 White TRUE
28 1 0 0 Other TRUE
22 0 4 3 White FALSE
57 0 9 9 White TRUE
41 0 0 0 White TRUE
45 3 3 3 White TRUE
35 0 0 0 White TRUE
27 0 9 9 White TRUE
57 2 0 0 White TRUE
63 0 2 2 Black TRUE
27 0 0 0 White TRUE
81 0 1 0 White FALSE
54 3 0 0 Black TRUE
71 0 0 0 White TRUE
63 0 9 7 Other FALSE
68 1 0 0 Black TRUE
45 2 0 0 Black TRUE
73 0 0 0 White TRUE
57 0 3 3 White TRUE
27 0 9 7 Black FALSE
66 0 0 0 White TRUE
66 0 1 1 White TRUE
45 0 2 0 White FALSE
37 0 9 9 White TRUE
34 2 0 0 White TRUE
60 0 2 1 White FALSE
30 2 0 0 Hispanic.Latino TRUE
35 0 2 1 Hispanic.Latino FALSE
47 1 9 9 White TRUE
51 1 5 5 White TRUE
66 0 1 1 Black TRUE
30 0 1 1 Hispanic.Latino TRUE
27 0 9 7 White FALSE
71 0 0 0 White TRUE
34 1 1 0 White FALSE
79 0 0 0 White TRUE
29 2 2 2 White TRUE
40 2 9 0 Black FALSE
80 0 2 2 White TRUE
61 0 4 0 White FALSE
64 0 0 0 White TRUE
45 3 9 9 White TRUE
41 2 2 2 White TRUE
58 0 9 7 White FALSE
65 0 2 2 White TRUE
50 1 0 0 Other TRUE
45 0 0 0 White TRUE
46 2 0 0 White TRUE
86 0 3 3 Black TRUE
34 2 1 1 White TRUE
18 3 9 9 White TRUE
69 0 2 1 White FALSE
30 0 2 0 White FALSE
44 3 1 0 Hispanic.Latino FALSE
57 0 1 2 White FALSE
83 0 5 7 White FALSE
32 3 9 0 White FALSE
58 0 0 0 White TRUE
79 0 2 2 White TRUE
20 2 9 9 White TRUE
34 1 0 0 White TRUE
65 0 2 2 Black TRUE
29 0 2 2 White TRUE
50 3 0 0 White TRUE
85 0 5 5 White TRUE
20 2 8 8 Hispanic.Latino TRUE
64 0 0 0 White TRUE
49 0 0 0 Black TRUE
47 0 1 0 Black FALSE
50 2 0 0 White TRUE
23 0 0 0 White TRUE
31 0 3 1 White FALSE
54 2 3 3 White TRUE
36 2 0 0 White TRUE
56 0 0 0 White TRUE
27 0 0 0 Black TRUE
94 0 2 1 White FALSE
42 0 5 5 Black TRUE
69 0 0 0 White TRUE
23 0 0 0 Black TRUE
21 0 1 1 White TRUE
86 0 0 0 White TRUE
55 0 4 4 White TRUE
63 3 6 6 Black TRUE
25 0 0 0 White TRUE
59 0 1 1 White TRUE
61 0 9 9 White TRUE
60 0 1 0 Black FALSE
39 2 0 0 White TRUE
44 1 9 9 White TRUE
46 2 1 6 White TRUE
52 0 2 0 White FALSE
45 1 4 4 White TRUE
62 0 1 1 White TRUE
41 0 0 0 Black TRUE
36 0 1 1 White TRUE
71 0 0 0 Black TRUE
52 0 0 0 White TRUE
72 0 0 0 White TRUE
51 2 2 2 White TRUE
60 0 1 1 Black TRUE
72 0 3 4 White FALSE
38 1 3 2 White FALSE
74 3 0 0 White TRUE
82 0 0 0 White TRUE
56 0 9 7 Asian FALSE
55 0 0 0 White TRUE
32 2 0 0 Asian TRUE
49 2 0 0 Black TRUE
55 0 6 0 White FALSE
46 1 2 2 White TRUE
58 0 9 0 White FALSE
75 0 0 0 White TRUE
65 0 1 0 White FALSE
38 3 9 9 Other TRUE
67 0 0 0 Black TRUE
65 0 7 6 White FALSE
30 3 4 1 White FALSE
79 0 8 0 White FALSE
41 3 3 9 White FALSE
35 3 0 0 White TRUE
80 0 0 0 White TRUE
63 0 5 5 White TRUE
57 0 8 8 Black TRUE
38 2 0 0 White TRUE
