age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity
21 1 0 0 Asian
29 0 9 8 White
45 2 0 0 White
50 3 6 4 Black
47 2 0 0 Hispanic.Latino
48 1 4 3 White
71 0 1 0 Other
53 1 0 0 Black
46 3 0 0 Black
67 0 0 0 Black
59 0 3 3 Black
84 0 0 0 White
31 3 0 0 Black
39 0 0 0 Asian
72 0 0 0 White
38 0 0 0 White
43 0 9 3 Hispanic.Latino
67 0 0 0 White
41 3 3 1 White
72 0 1 1 White
69 0 1 1 White
49 2 9 9 Black
54 0 0 0 Other
56 1 1 0 Other
26 0 0 0 Hispanic.Latino
40 2 0 0 White
73 0 5 0 White
44 2 1 1 White
37 3 0 0 White
35 0 1 1 White
49 0 0 0 White
29 2 0 0 White
78 0 0 0 White
50 0 0 0 White
55 3 9 9 White
42 2 9 5 White
39 0 0 0 Black
22 1 0 0 Black
59 0 0 0 White
87 0 9 9 White
52 1 8 0 White
61 0 2 2 White
75 0 1 1 White
79 0 0 0 White
46 1 6 6 White
63 1 5 5 Black
56 1 9 0 White
52 0 9 2 White
46 3 0 0 Black
81 0 2 2 White
66 0 3 3 White
76 0 0 0 White
86 0 0 0 White
75 0 3 3 White
73 0 3 3 White
92 0 0 0 White
81 0 9 4 White
81 0 1 1 White
70 0 0 0 White
85 0 0 0 White
53 0 0 0 Black
45 1 1 1 Black
65 0 4 4 White
77 0 0 0 Black
72 0 0 0 Black
40 0 0 0 White
53 0 0 0 White
72 0 2 2 Black
