age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q18..College.Degree Q19.20..Race...Ethnicity week trump_approve_score Social.Distancing.Adherence
86 Male 2 0 FALSE White 1 5 1
81 Male 2 0 FALSE White 1 2 1
73 Female 2 0 FALSE White 1 3 1
52 Male 3 0 FALSE Black 1 1 0
59 Male 9 3 TRUE White 1 1 0
30 Male 4 0 TRUE White 1 3 0
86 Female 1 0 FALSE Black 1 1 0
68 Female 2 0 TRUE White 1 3 1
73 Female 2 0 TRUE White 1 5 1
62 Female 2 0 TRUE White 1 1 1
82 Female 2 0 TRUE White 1 1 1
73 Female 1 0 TRUE Black 1 5 1
84 Female 1 0 FALSE White 1 2 1
72 Male 1 0 FALSE White 1 1 0
82 Male 2 0 TRUE White 1 5 0
74 Male 1 0 TRUE White 1 5 1
78 Male 4 0 FALSE White 1 5 0
58 Female 2 0 FALSE White 1 5 1
78 Female 2 0 FALSE White 1 3 1
69 Male 1 0 TRUE White 1 5 1
52 Female 3 0 FALSE White 1 1 1
61 Female 2 0 FALSE White 1 5 1
70 Male 2 0 TRUE White 1 5 0
68 Female 1 0 FALSE White 1 3 1
75 Female 2 0 FALSE White 1 5 0
62 Female 1 0 FALSE White 1 5 0
41 Female 4 2 FALSE Black 1 1 0
88 Female 2 0 TRUE White 1 3 1
70 Male 2 0 FALSE Asian 1 1 1
22 Male 1 3 FALSE Asian 1 1 1
57 Female 3 0 FALSE White 1 5 1
48 Male 2 0 FALSE White 1 2 1
51 Female 4 1 FALSE Black 1 4 1
71 Female 1 0 TRUE Black 1 1 0
87 Male 1 0 FALSE White 1 1 1
85 Male 3 3 FALSE White 1 5 0
57 Male 3 0 TRUE White 1 2 1
79 Male 2 0 FALSE White 1 3 0
62 Male 2 0 FALSE White 1 5 0
53 Female 3 0 TRUE White 1 1 1
72 Male 2 0 TRUE Other 1 1 1
59 Female 2 0 TRUE Black 1 1 1
83 Female 2 0 FALSE Black 1 1 1
79 Male 4 0 FALSE White 1 4 1
60 Female 2 0 FALSE White 1 5 0
45 Female 5 3 TRUE Black 1 1 1
88 Male 2 0 TRUE White 1 5 1
45 Male 3 1 FALSE White 1 3 1
71 Female 2 0 FALSE White 1 1 1
52 Female 4 2 FALSE White 1 4 1
85 Female 1 0 FALSE White 1 4 1
78 Male 5 2 TRUE White 1 4 0
55 Female 4 3 FALSE Other 1 2 1
67 Male 3 0 TRUE Hispanic.Latino 1 1 1
